tweet_id,customer_text,predicted_intent,confidence,auto_handle,decision_reason,reply,retrieval_score,human_reply_score,judge_correctness,judge_grounding,judge_actionability,judge_tone,judge_hallucination_risk,judge_policy_safety,judge_overall_score,judge_reason
2732930,@AppleSupport Hi could you please advise is it best to set up a phone as new or restore from back up,order_purchase,0.9793063053118192,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @516281 Got it. Have you attempted to restart your iPhone or any other steps? Let us know in DM. https://t.co/GDrqU22YpT",0.2758553914158186,4.0,4,4,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.276). Actionability score 4/5. Direct response grounded in historical support patterns.
905830,@133462 @AppleSupport @335047 I was given a replacement guarantee for 10 days so why should I go to Apple Service centre for this? https://t.co/mjTz1Bpfvn,app_service_issue,0.9464892957184766,False,Escalate: no sufficiently similar historical resolution (score 0.16).,Thanks for reaching out. A support specialist should review this request and assist you further.,0.1551591657611941,3.0,4,3,3,4,1,5,3,Grounded in retrieved historical evidence (top similarity: 0.155). Actionability score 3/5. Appropriate escalation path applied.
884993,"@AppleSupport buenas. Me he encontrado un iPhone 6 con el modo pérdida, cómo puedo saber de quién es? Gracias",device_issue,0.9698519825859252,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @379264 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3w3RGR or join https://t.co/OczyRxpjG0",0.217152976897689,2.0,3,3,3,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.217). Actionability score 3/5. Direct response grounded in historical support patterns.
1026261,@AppleSupport  https://t.co/Z0eZ0H6g9E,other,0.9901193898448716,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @212142 We'd like to look into these issues with you. Please DM us. https://t.co/GDrqU22YpT",0.5744082121073736,2.0,4,5,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.574). Actionability score 4/5. Direct response grounded in historical support patterns.
2072017,@612822 @612823 @45777 @AppleSupport Io anche stesso problema con 3,other,0.9743209646104048,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @692946 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs",0.2884304796718976,2.0,4,4,3,4,1,4,4,Grounded in retrieved historical evidence (top similarity: 0.288). Actionability score 3/5. Direct response grounded in historical support patterns.
639375,@AppleSupport DM,other,0.9980597884087454,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @211654 Sure, just click the link below and message us. It's private messaging. https://t.co/GDrqU22YpT",1.0,3.0,4,5,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 1.000). Actionability score 4/5. Direct response grounded in historical support patterns.
1146001,@115858 @AppleSupport Recently on my iPhone 7 whenever I take a screenshot it turns out as a blank white screen. How do I resolve this issue?,device_issue,0.9984566336338904,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @789672 Let's look into this together. Send us a DM with your iPhone's current iOS version, and we'll continue there. https://t.co/GDrqU22YpT",0.2859262272351732,3.0,4,4,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.286). Actionability score 4/5. Direct response grounded in historical support patterns.
1852173,@554326 @AppleSupport @115858 I have a sony speaker as well that’s doing this on iOS 11 I never had this before on iOS 10,other,0.9796886585503194,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @629584 Thanks! Tell us in DM how long the device lasts from a full charge, please. https://t.co/GDrqU22YpT",0.2235599768019562,4.0,3,3,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.224). Actionability score 4/5. Direct response grounded in historical support patterns.
2690839,This new apple update seriously SUCKS. My phone is lagging and freezing and I cannot install new apps. Get it together Apple. @AppleSupport,status_followup,0.8797426228194313,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @592745 We'll do everything we can to help. To confirm, have you installed the iOS 11.1 update? DM us what's happening exactly: https://t.co/GDrqU22YpT",0.204786992938496,4.0,3,3,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.205). Actionability score 4/5. Direct response grounded in historical support patterns.
999018,@AppleSupport It's iPhone 6 and I think it's 10.0.01,device_issue,0.9968410853366836,True,Auto-handle: confident intent prediction and sufficiently similar historical evidence.,"Thanks for reaching out. Based on how similar cases were handled, the relevant support path is: @310164 We'd be happy to look into this with you! Please DM your location so we know what your support options are. https://t.co/GDrqU22YpT",0.2743269030936968,4.0,4,4,4,4,1,4,3,Grounded in retrieved historical evidence (top similarity: 0.274). Actionability score 4/5. Direct response grounded in historical support patterns.
